[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[nH:6][c:7]2[cH:8][cH:9][c:10]([NH:11][C:12](=[O:13])[C:14]3([c:15]4[cH:16][cH:17][c:18]5[c:19]([cH:20]4)[O:21][CH2:22][O:23]5)[CH2:24][CH2:25]3)[cH:26][c:27]2[c:28]1[CH:29]=[N:30][OH:31]>>CC(C)(C)c1[nH]c2ccc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)cc2c1C#N 29;;29-30-2.0,30-31-1.0;29-30-3.0
[CH3:30][O:31][CH2:32][CH2:33][Br:34].[K+:35].[K+:36].[O:1]=[c:2]1[c:3]([OH:4])[cH:5][n:6](-[c:7]2[cH:8][cH:9][cH:10][c:11]([C:12]([F:13])([F:14])[F:15])[cH:16]2)[n:17][c:18]1-[c:19]1[cH:20][cH:21][n:22][n:23]1-[c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1.[O:37]=[C:38]([O-:39])[O-:40].[OH2:41]>>COCCOc1cn(-c2cccc(C(F)(F)F)c2)nc(-c2ccnn2-c2ccccc2)c1=O 4;;33-34-1.0;33-4-1.0
[CH2:16]1[CH2:17][O:18][CH2:19][CH2:20][NH:21]1.[CH3:1][c:2]1[c:3]([NH:4][C:5](=[O:6])[CH2:7][Br:8])[cH:9][cH:10][cH:11][c:12]1[N+:13](=[O:14])[O-:15].[CH3:22][CH2:23][N:24]([CH:25]([CH3:26])[CH3:27])[CH:28]([CH3:29])[CH3:30]>>Cc1c(NC(=O)CN2CCOCC2)cccc1[N+](=O)[O-] 21;;7-8-1.0;21-7-1.0
[Br:14][P:15]([Br:16])[Br:17].[CH3:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][cH:7][c:8]([CH2:9][OH:10])[cH:11][c:12]1[F:13]>>CS(=O)(=O)c1ccc(CBr)cc1F ;;10-9-1.0,14-15-1.0;14-9-1.0
[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[cH:6][cH:7][c:8]([C:9]2([CH3:10])[NH:11][C:12](=[O:13])[NH:14][C:15]2=[O:16])[cH:17][cH:18]1.[CH3:25][CH:26]=[CH:27][c:28]1[cH:29][c:30]([C:31]([O:32][CH2:33][O:34][CH3:35])([C:36]([F:37])([F:38])[F:39])[C:40]([F:41])([F:42])[F:43])[cH:44][cH:45][c:46]1[N:47]1[CH2:48][CH2:49][N:50]([C:51](=[O:52])[CH2:53][Br:54])[CH2:55][CH:56]1[CH3:57].[K+:23].[K+:24].[O:19]=[C:20]([O-:21])[O-:22].[OH2:58]>>CC=Cc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1N1CCN(C(=O)CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)CC1C 14;32;32-33-1.0,53-54-1.0;14-53-1.0
[CH3:21][CH2:22][CH2:23][CH2:24][N:25]=[C:26]=[O:27].[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:8]([CH:9]2[NH:10][CH2:11][CH2:12][c:13]3[cH:14][cH:15][cH:16][cH:17][c:18]32)[cH:19][cH:20]1>>CCCCNC(=O)N1CCc2ccccc2C1c1ccc(C(F)(F)F)cc1 10;25;25-26-2.0;10-26-1.0,25-26-1.0
[CH3:1][c:2]1[s:3][c:4]([NH:5][CH2:6][c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[c:13]([C:14]#[N:15])[c:16]1[CH3:17].[O:18]=[C:19]([N:20]=[C:21]=[S:22])[c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1>>Cc1sc(N(Cc2ccccc2)C(=S)NC(=O)c2ccccc2)c(C#N)c1C 5;20;20-21-2.0;20-21-1.0,21-5-1.0
[CH3:8][C:9]([CH3:10])([CH3:11])[O:12][C:13](=[O:14])[NH:15][CH2:16][C:17]([CH3:18])([CH3:19])[c:20]1[cH:21][c:22]2[cH:23][c:24]([NH:25][C:26](=[O:27])[C:28]3([c:29]4[cH:30][cH:31][c:32]5[c:33]([cH:34]4)[O:35][CH2:36][O:37]5)[CH2:38][CH2:39]3)[cH:40][cH:41][c:42]2[nH:43]1.[O:1]=[C:2]([OH:3])[C:4]([F:5])([F:6])[F:7]>>CC(C)(CN)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)ccc2[nH]1 ;15;13-15-1.0;
[CH3:16][C:17](=[O:18])[O:19][CH2:20][c:21]1[c:22]([Br:23])[cH:24][c:25]([F:26])[cH:27][c:28]1[Br:29].[CH3:1][C:2]1([CH3:3])[CH2:4][c:5]2[cH:6][c:7]3[n:8]([c:9]2[CH2:10]1)[CH2:11][CH2:12][NH:13][C:14]3=[O:15].[Cs+:34].[Cs+:35].[O:30]=[C:31]([O-:32])[O-:33].[OH2:36]>>CC(=O)OCc1c(Br)cc(F)cc1N1CCn2c(cc3c2CC(C)(C)C3)C1=O 13;;22-23-1.0;13-22-1.0
[CH3:1][CH:2]([c:3]1[cH:4][cH:5][c:6]([B:7]2[O:8][C:9]([CH3:10])([CH3:11])[C:12]([CH3:13])([CH3:14])[O:15]2)[cH:16][cH:17]1)[N:18]1[CH2:19][CH2:20][C:21]([CH2:22][C:23]([CH3:24])([CH3:25])[OH:26])([c:27]2[cH:28][cH:29][cH:30][cH:31][cH:32]2)[O:33][C:34]1=[O:35].[N:36]#[C:37][c:38]1[cH:39][cH:40][cH:41][n:42][c:43]1[Br:44]>>CC(c1ccc(-c2ncccc2C#N)cc1)N1CCC(CC(C)(C)O)(c2ccccc2)OC1=O ;;43-44-1.0,6-7-1.0;43-6-1.0
[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][cH:8][c:9]([NH:10][c:11]2[cH:12][cH:13][c:14]([C:15]([CH3:16])([CH3:17])[CH3:18])[cH:19][cH:20]2)[c:21]1[C:22](=[O:23])[O:24][CH3:25].[Na+:27].[OH-:26]>>CC(C)(C)c1ccc(Nc2cccc(C(=O)O)c2C(=O)O)cc1 ;2,23;1-2-1.0,22-23-2.0,22-24-1.0,24-25-1.0;22-23-1.0,22-24-2.0
