src,prod,name
C=CC(=O)OCCCO.C1C=CCC=1.C1CCOC1,O=C(OCCCO)C1CC2C=CC1C2,Diels-Alder cycloaddition
C=CC(C)=CC(C)=O.C=C(C)C,CC1=CCCC(C1C(C)=O)(C)C,Diels-Alder cycloaddition
C=C.C=C(C)C(=C(C)C)C(C)=O,CC1CCCC(C=1C(C)=O)(C)C,Diels-Alder cycloaddition
C=CC=CC.CC(=O)C=C(C)C,CC1C=CCC(C1C(C)=O)(C)C,Diels-Alder cycloaddition
C=CC=CC.CC(=O)C=C(C)C.Cc1ccccc1.Cl[Al](Cl)Cl,CC1C=CCC(C1C(C)=O)(C)C,Diels-Alder cycloaddition
C=CC(=O)OCC(F)(F)F.C1C=CCC=1.C1=CC2C3C=CC(C3)C2C1,O=C(OCC(F)(F)F)C1CC2C=CC1C2,Diels-Alder cycloaddition
C=CC(=O)OCC.c1ccoc1.Cl[Zn]Cl,CCOC(=O)C1CC2C=CC1O2,Diels-Alder cycloaddition
C=CCC(O)(C(F)(F)F)C(F)(F)F.C1C=CCC=1.Oc1ccc(cc1)O,OC(CC1CC2C=CC1C2)(C(F)(F)F)C(F)(F)F,Diels-Alder cycloaddition
CCC/C=C/C=O.C1C=CCC=1.Cl.CCOC(C)=O.CN1C([C@@H](NC1(C)C)Cc1ccccc1)=O,CCC[C@H]1[C@@H]2C=C[C@@H](C2)[C@H]1C=O,Diels-Alder cycloaddition
C=CC=O.C1C=CCCC=1.O.Cl.CCOCC.CC#N.CN1C([C@@H](NC1(C)C)Cc1ccccc1)=O,O=C[C@@H]1CC2C=CC1CC2,Diels-Alder cycloaddition
C=CC=O.C=CC(=C)C.O.Cl.CN1C([C@@H](NC1(C)C)Cc1ccccc1)=O.C[N+]([O-])=O,CC1=CC[C@@H](CC1)C=O,Diels-Alder cycloaddition
C=CC=O.C=CC(=C)c1ccccc1.O.Cl.CN1C([C@@H](NC1(C)C)Cc1ccccc1)=O.C[N+]([O-])=O,O=C[C@@H]1CCC(=CC1)c1ccccc1,Diels-Alder cycloaddition
O=C1C=Cc2ccccc12.C1C=CCCC=1.CCO.CC(=O)O,O=C1c2ccccc2C2C3C=CC(CC3)C12,Diels-Alder cycloaddition
C=CC=O.C1C=CCCC=1.O.Cl.CCOCC.CC#N.CN1C([C@@H](NC1(C)C)Cc1ccccc1)=O,O=C[C@@H]1CC2C=CC1CC2,Diels-Alder cycloaddition
C=CC=O.C=CC(=C)C.O.Cl.CN1C([C@@H](NC1(C)C)Cc1ccccc1)=O.C[N+]([O-])=O,CC1=CC[C@@H](CC1)C=O,Diels-Alder cycloaddition
C=CC=O.C=CC(=C)c1ccccc1.O.Cl.CN1C([C@@H](NC1(C)C)Cc1ccccc1)=O.C[N+]([O-])=O,O=C[C@@H]1CCC(=CC1)c1ccccc1,Diels-Alder cycloaddition
C=CC(=O)OC(C)(C)C.C1C=CCC=1,CC(C)(C)OC(=O)C1CC2C=CC1C2,Diels-Alder cycloaddition
CC1(C=CC=C1)C.O=C1C=CC(CC=CC1)=O,CC1(C2C=CC1C1C(CC=CCC(C12)=O)=O)C,Diels-Alder cycloaddition
O=CC=Cc1ccccc1.C=COCCCC.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.[Yb],CCCCOC1CC(C=CO1)c1ccccc1,Oxa-Diels-Alder reaction
C=CC(=O)O.C1C=CCC=1,O=C(O)C1CC2C=CC1C2,Diels-Alder cycloaddition
C=CC(=O)OC([Si](C)(C)C)[Si](C)(C)C.C1C=CCC=1,C[Si](C)(C)C(OC(=O)C1CC2C=CC1C2)[Si](C)(C)C,Diels-Alder cycloaddition
C=CC(=O)O.C1C=CCC=1,O=C(O)C1CC2C=CC1C2,Diels-Alder cycloaddition
O=C1C=CC(O1)=O.C1C=CCC=1,O=C1OC(C2C3C=CC(C3)C12)=O,Diels-Alder cycloaddition
C=C(C)C(=C)C.C=CC(=O)OCC,CC1CCC(CC=1C)C(=O)OCC,Diels-Alder cycloaddition
C=CC=O.O=COC1CC2C=CC1C2.[As]#[In],O=COC1CC2CC1C1OC=CCC21,Oxa-Diels-Alder reaction
C=CC=C.O=C1C=CC(O1)=O,O=C1OC(C2CC=CCC12)=O,Diels-Alder cycloaddition
C=CC(=C)C.C1=CCOC1,CC1=CCC2COCC2C1,Diels-Alder cycloaddition
C=CCOCC1COC(O1)(C)C.C1C=CCC=1,CC1(OCC(O1)COCC1CC2C=CC1C2)C,Diels-Alder cycloaddition
C=CC(=O)OC.COC(=O)c1ccc(o1)N,COC(=O)C12C=CC(O1)(C(C2)C(=O)OC)N,Diels-Alder cycloaddition
C[Si](C)(C)C#Cc1cc(ccc1F)[N+]([O-])=O.c1nncnn1.C1COCCO1,C[Si](C)(C)c1cnncc1-c1cc(ccc1F)[N+]([O-])=O,Aza-Diels-Alder reaction
C=CC(=O)O.C1C=CCC=1,O=C(O)C1CC2C=CC1C2,Diels-Alder cycloaddition
CCOC(=O)/C=C/C(=O)OCC.C=CC=C.c1ccccc1,CCOC(=O)[C@@H]1CC=CC[C@H]1C(=O)OCC,Diels-Alder cycloaddition
C=CC(=O)O[Si](C)(C)C.C1C=CCC=1,C[Si](C)(C)OC(=O)C1CC2C=CC1C2,Diels-Alder cycloaddition
[O-][N+](=O)/C=C/c1ccccc1.C1C=CCC=1.ClCCCl,[O-][N+](=O)C1C2C=CC(C2)C1c1ccccc1,Diels-Alder cycloaddition
C=C(C)C(=C)C.C=CC(=O)OCC,CC1CCC(CC=1C)C(=O)OCC,Diels-Alder cycloaddition
CC(C)(C)OC(=O)N1C(C=CC1C(C)(C)O[SiH2]C(C)(C)C)=O.C1C=CCC=1.Cc1ccccc1,CC(C)(C)OC(=O)N1C(C2C3C=CC(C3)C2C1C(C)(C)O[SiH2]C(C)(C)C)=O,Diels-Alder cycloaddition
C=C(C(=C)c1ccccc1)c1ccccc1.Brc1ccc2C=Cc3ccc(c1c23)Br,Brc1ccc2c3c1c(ccc3C1CC(=C(CC21)c1ccccc1)c1ccccc1)Br,Diels-Alder cycloaddition
C=C.C=C/C=C/CCN1CCC(CC1)Cc1ccccc1,C1=CC(CCC1)CCN1CCC(CC1)Cc1ccccc1,Diels-Alder cycloaddition
O=C1C=CCO1.C1C=CCC=1.O=C1CC(CO1)O.C1=CC2C3C=CC(C3)C2C1,O=C1OCC2C3C=CC(C3)C12,Diels-Alder cycloaddition
C=CCC(O)(C(F)(F)F)C(F)(F)F.C1C=CCC=1,OC(CC1CC2C=CC1C2)(C(F)(F)F)C(F)(F)F,Diels-Alder cycloaddition
O=C1C=CC(C=C1)=O.C1C=CCC=1,O=C1C=CC([C@H]2C3C=CC(C3)[C@@H]12)=O,Diels-Alder cycloaddition
O=C1C=CC(C=C1)=O.C1C=CCC=1,O=C1C=CC([C@H]2C3C=CC(C3)[C@@H]12)=O,Diels-Alder cycloaddition
C#CS(=O)(=O)c1ccc(cc1)C.CC(C)(C)OC(=O)n1cccc1,CC(C)(C)OC(=O)N1C2C=CC1C(=C2)S(=O)(=O)c1ccc(cc1)C,Triple bond Diels-Alder
C=CC(=O)O.c1ccoc1.C.(C)[BH3],O=C(O)C1CC2C=CC1O2,Diels-Alder cycloaddition
C=CC(=O)O.c1ccoc1.CC(C)OC(C)C.C1CCO(C1)[BH3].C1CCOC1,O=C(O)C1CC2C=CC1O2,Diels-Alder cycloaddition
O=C(O)/C=C\C(=O)O.c1ccoc1.C1CCOC1.C1CCO(C1)[BH3],O=C(O)[C@@H]1[C@@H]2C=C[C@@H](O2)[C@@H]1C(=O)O,Diels-Alder cycloaddition
C=C(Br)C(=O)O.c1ccoc1.O.ClC(Cl)Cl.C1CCOC1.C1CCO(C1)[BH3],O=C(O)C1(CC2C=CC1O2)Br,Diels-Alder cycloaddition
C=CC(=O)O.c1ccoc1.CC(=O)OB(OC(C)=O)OC(C)=O,O=C(O)C1CC2C=CC1O2,Diels-Alder cycloaddition
C=CC(=O)O.c1ccoc1.CCC(=O)OB(OC(=O)CC)OC(=O)CC,O=C(O)C1CC2C=CC1O2,Diels-Alder cycloaddition
O=CC=Cc1ccccc1.C=COCCCC.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)/C(O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F.[Yb],CCCCOC1CC(C=CO1)c1ccccc1,Oxa-Diels-Alder reaction
CC=CC(C)=O.C1C=CCC=1.O.Cc1ccc(o1)[C@H]1N[C@H](C(N1C)=O)Cc1ccccc1.O=[Cl](=O)(=O)O,CC(=O)[C@H]1[C@H]2C=C[C@@H](C2)[C@@H]1C,Diels-Alder cycloaddition
CC=CC(=O)CC.C1C=CCC=1.O.Cc1ccc(o1)[C@H]1N[C@H](C(N1C)=O)Cc1ccccc1.O=[Cl](=O)(=O)O,CCC(=O)[C@H]1[C@H]2C=C[C@@H](C2)[C@@H]1C,Diels-Alder cycloaddition
CC=CC(=O)CCCC.C1C=CCC=1.Cc1ccc(o1)[C@H]1N[C@H](C(N1C)=O)Cc1ccccc1.O=[Cl](=O)(=O)O,CCCCC(=O)[C@H]1[C@H]2C=C[C@@H](C2)[C@@H]1C,Diels-Alder cycloaddition
CC=CC(=O)CCC(C)C.C1C=CCC=1.O.Cc1ccc(o1)[C@H]1N[C@H](C(N1C)=O)Cc1ccccc1.O=[Cl](=O)(=O)O,CC(C)CCC(=O)[C@H]1[C@H]2C=C[C@@H](C2)[C@@H]1C,Diels-Alder cycloaddition
CC=CC(=O)C(C)C.C1C=CCC=1.O.Cc1ccc(o1)[C@H]1N[C@H](C(N1C)=O)Cc1ccccc1.O=[Cl](=O)(=O)O,CC(C)C(=O)C1C2C=CC(C2)C1C,Diels-Alder cycloaddition
CCCC=CC(=O)CC.C1C=CCC=1.O.Cc1ccc(o1)[C@H]1N[C@H](C(N1C)=O)Cc1ccccc1.O=[Cl](=O)(=O)O,CCC[C@H]1[C@H]2C=C[C@@H](C2)[C@H]1C(=O)CC,Diels-Alder cycloaddition
CCC(=O)C=CC(C)C.C1C=CCC=1.O.Cc1ccc(o1)[C@H]1N[C@H](C(N1C)=O)Cc1ccccc1.O=[Cl](=O)(=O)O,CCC(=O)[C@@H]1[C@H]2C=C[C@@H](C2)[C@@H]1C(C)C,Diels-Alder cycloaddition
C=CC=COC.C=CC(=O)CC.CCO.Cc1ccc(o1)[C@H]1N[C@H](C(N1C)=O)Cc1ccccc1.O=[Cl](=O)(=O)O,CO[C@H]1C=CCC[C@H]1C(=O)CC,Diels-Alder cycloaddition
C=CC=CNC(=O)OCc1ccccc1.C=CC(=O)CC.CCO.CCOCC.Cc1ccc(o1)[C@H]1N[C@H](C(N1C)=O)Cc1ccccc1.O=[Cl](=O)(=O)O,CCC(=O)[C@@H]1CCC=C[C@@H]1NC(=O)OCc1ccccc1,Diels-Alder cycloaddition
C=CC(=O)CC.C=C(C)/C=C/C.CCO.Cc1ccc(o1)[C@H]1N[C@H](C(N1C)=O)Cc1ccccc1.O=[Cl](=O)(=O)O,CC1=C[C@@H]([C@@H](CC1)C(=O)CC)C,Diels-Alder cycloaddition
C=CC(=C)C.C=CC(=O)CC.Cc1ccc(o1)[C@H]1N[C@H](C(N1C)=O)Cc1ccccc1.O=[Cl](=O)(=O)O,CC1=CC[C@@H](CC1)C(=O)CC,Diels-Alder cycloaddition
O=C1C=CCC1.C1C=CCC=1.O.Cc1ccc(o1)[C@H]1N[C@H](C(N1C)=O)Cc1ccccc1.O=[Cl](=O)(=O)O,O=C1CC[C@@H]2[C@H]3C=C[C@@H](C3)[C@@H]12,Diels-Alder cycloaddition
O=C1C=CCCC1.C1C=CCC=1.O.Cc1ccc(o1)[C@H]1N[C@H](C(N1C)=O)Cc1ccccc1.O=[Cl](=O)(=O)O,O=C1CCC[C@@H]2[C@H]3C=C[C@@H](C3)[C@@H]12,Diels-Alder cycloaddition
O=C1C=CCCCCCCCCCCCC1.C1C=CCC=1.O.Cc1ccc(o1)[C@H]1N[C@H](C(N1C)=O)Cc1ccccc1.O=[Cl](=O)(=O)O,O=C1CCCCCCCCCCCC[C@H]2[C@H]3C=C[C@@H](C3)[C@@H]12,Diels-Alder cycloaddition
O=S(=O)(/C=C/S(=O)(=O)c1ccccc1)c1ccccc1.C1C=CCCC=1,O=S(=O)(c1ccccc1)C1C2C=CC(CC2)C1S(=O)(=O)c1ccccc1,Diels-Alder cycloaddition
O=S(=O)(/C=C/S(=O)(=O)c1ccccc1)c1ccccc1.C1C=CCCC=1.Cc1ccccc1,O=S(=O)(c1ccccc1)C1C2C=CC(CC2)C1S(=O)(=O)c1ccccc1,Diels-Alder cycloaddition
C=C/C=C/O[Si](C)(C)C(C)(C)C.CC1C(OC(C=1C)=O)=O.CN(C)c1ccc2nc3ccc(cc-3sc2c1)=[N+](C)C.Cc1cc(cc(c1)C)C.Cc1cc(nc(c1)C)C,C[C@]12CC=C[C@H]([C@]1(C(OC2=O)=O)C)O[Si](C)(C)C(C)(C)C,Diels-Alder cycloaddition
C=CC(=O)OC(C)(C)C.C1C=CCC=1.Cc1ccccc1C,CC(C)(C)OC(=O)C1CC2C=CC1C2,Diels-Alder cycloaddition
C=C(C)C=O.C1C=CCC=1.ClCCl,C[C@@]1(C[C@@H]2C=C[C@H]1C2)C=O,Diels-Alder cycloaddition
C=CC=C.COc1cc(ccc1OC)/C=C/[N+]([O-])=O.Cc1ccccc1.Oc1ccc(cc1)O,COc1ccc(cc1OC)[C@@H]1CC=CC[C@H]1[N+]([O-])=O,Diels-Alder cycloaddition
C=CC=O.C=C(C)C(=C)C,CC1CCC(CC=1C)C=O,Diels-Alder cycloaddition
C=C(C)C(=C)C.C=C(C)C=O,CC1CCC(CC=1C)(C)C=O,Diels-Alder cycloaddition
C=C(C)C(=C)C.C=CC(C)=O,CC1CCC(CC=1C)C(C)=O,Diels-Alder cycloaddition
C[C@H]1O[C@@H](C(C([C@@H]1O)O)O)OCc1ccc(o1)CO[C@@H]1O[C@@H]([C@H](C(C1O)O)O)C.O=C(CCCCC1SCC2C1NC(N2)=O)NCCOCCOCCNC(=O)CCN1C(C=CC1=O)=O,C[C@H]1O[C@@H](C(C([C@@H]1O)O)O)OCC12C=CC(O2)(C2C1C(N(C2=O)CCC(=O)NCCOCCOCCNC(=O)CCCCC1SCC2C1NC(N2)=O)=O)CO[C@H]1O[C@@H]([C@H](C(C1O)O)O)C,Diels-Alder cycloaddition
CCCCSC(=O)C#CC(=O)SCCCC.c1ccoc1,CCCCSC(=O)C1=C(C2C=CC1O2)C(=O)SCCCC,Triple bond Diels-Alder
C=CC(=C)C.CCC=C1CCCC1=O.Cc1ccccc1.FB(F)F,CCC1CC(=CCC11CCCC1=O)C,Diels-Alder cycloaddition
C=CC(=O)O.C=CC=C.O=C(c1ccccc1)C1CCCCC1.c1ccccc1,O=C(O)C1CCC=CC1,Diels-Alder cycloaddition
Cn1ccccc1=O.O=C1C=CC(O1)=O.Cc1ccccc1,CN1C(C2C=CC1C1C(OC(C21)=O)=O)=O,Diels-Alder cycloaddition
N#Cc1ccc(cc1C(F)(F)F)N1C(C=CC1=O)=O.Cc1oc(nc1C)C.Cc1ccccc1,CC12OC(N=C2C)(C2C(N(C(C21)=O)c1ccc(c(c1)C(F)(F)F)C#N)=O)C,Aza-Diels-Alder reaction
Cc1ccc(n1C(=O)OC(C)(C)C)C.COC(=O)C#CC(=O)OC,COC(=O)C1=C(C2(C=CC1(N2C(=O)OC(C)(C)C)C)C)C(=O)OC,Triple bond Diels-Alder
C=C.C=CC=C,C1=CCCCC1,Diels-Alder cycloaddition
FC1(C=CC1(F)F)F.C1C=CCC=1,FC1(C2C3C=CC(C3)C2C1(F)F)F,Diels-Alder cycloaddition
C=CCN(C)C(=O)C=C.COC(=O)c1ccc(oc1)=O,C=CCN(C)C(=O)C1CC2OC(C1C=C2C(=O)OC)=O,Diels-Alder cycloaddition
COC(=O)/C=C\C(=O)OC.c1ccoc1,COC(=O)C1C(C2C=CC1O2)C(=O)OC,Diels-Alder cycloaddition
O=C1C=CC(N1)=O.c1ccoc1,O=C1NC(C2C1C1C=CC2O1)=O,Diels-Alder cycloaddition
FC(F)(F)C#CC(F)(F)F.Cc1ccco1,CC12C=CC(O2)C(=C1C(F)(F)F)C(F)(F)F,Triple bond Diels-Alder
C=C1COC(O1)(C(F)(F)F)C(F)(F)F.C1C=CCC=1,FC(F)(F)C1(OCC2(CC3C=CC2C3)O1)C(F)(F)F,Diels-Alder cycloaddition
CC(C)(C)OC(=O)C(=C\C(F)(F)F)/C(F)(F)F.C1C=CCC=1,CC(C)(C)OC(=O)C1(C2C=CC(C2)C1C(F)(F)F)C(F)(F)F,Diels-Alder cycloaddition
FC(F)(F)C#CC(F)(F)F.C1C=CCC=1,FC(F)(F)C1=C(C2C=CC1C2)C(F)(F)F,Triple bond Diels-Alder
C=CCC(O)(C(F)(F)F)C(F)(F)F.c1ccoc1,OC(CC1CC2C=CC1O2)(C(F)(F)F)C(F)(F)F,Diels-Alder cycloaddition
CC(C)(C)OC(=O)c1ccco1.FC(F)(F)C=CC(F)(F)F,CC(C)(C)OC(=O)C12C=CC(O2)C(C1C(F)(F)F)C(F)(F)F,Diels-Alder cycloaddition
C=CC(=O)OCCO.C1C=CCC=1.CCOCC.C1CCOC1,O=C(OCCO)C1CC2C=CC1C2,Diels-Alder cycloaddition
C=CC(=O)OC(C)(C)C.C1C=CCC=1.C1CCOC1,CC(C)(C)OC(=O)C1CC2C=CC1C2,Diels-Alder cycloaddition
C=CC(C)=O.C1C=CCC=1,CC(=O)C1CC2C=CC1C2,Diels-Alder cycloaddition
C=CC(C)=O.C1C=CCC=1,CC(=O)C1CC2C=CC1C2,Diels-Alder cycloaddition
O=C1C=CC(N1c1ccccc1)=O.c1ccoc1,O=C1[C@@H]2C(C(N1c1ccccc1)=O)C1C=C[C@@H]2O1,Diels-Alder cycloaddition
C=CC=COC(C)=O.C=CC(=O)OCCCC.Cc1ccccc1.Oc1ccc(cc1)O,CC(=O)OC1C=CCCC1C(=O)OCCCC,Diels-Alder cycloaddition
C=CC=COC(C)=O.C=CC(N)=O.Cc1ccccc1.Oc1ccc(cc1)O.ClCCl,CC(=O)OC1C=CCCC1C(N)=O,Diels-Alder cycloaddition
CC(C)(C)OC(=O)n1cccc1.COC(=O)C#CC(=O)OC,COC(=O)C1=C(C2C=CC1N2C(=O)OC(C)(C)C)C(=O)OC,Triple bond Diels-Alder
Cn1ccccc1=O.O=C1C=CC(O1)=O,CN1C(C2C=CC1C1C(OC(C21)=O)=O)=O,Diels-Alder cycloaddition
N#Cc1ccc(cc1C(F)(F)F)N1C(C=CC1=O)=O.Cc1oc(nc1C)C.Cc1ccccc1,CC12OC(N=C2C)(C2C(N(C(C21)=O)c1ccc(c(c1)C(F)(F)F)C#N)=O)C,Aza-Diels-Alder reaction
