src,prod
Brc1cc(cc(c1)Br)Br.CC(=O)Cl.Cl[Al](Cl)Cl,CC(=O)c1c(cc(cc1Br)Br)Br
Brc1ccc2ccccc2c1.CC(=O)Cl.[O-][N+](=O)c1ccccc1.Cl[Sn](Cl)(Cl)Cl.C[N+]([O-])=O.FB(F)F.Cl[Al](Cl)Cl.CC#N.S=C=S.ClCCl.Cl[Zn]Cl.[Cl-].[Cl-].[Cl-].[Fe+3],CC(=O)c1ccc2cc(ccc2c1)Br
Brc1cccc2c(cccc12)Br.O=C(Cl)CCl.Brc1cccc2c(cccc12)Br.ClCCCl.Cl[Al](Cl)Cl.O,O=C(CCl)c1ccc(c2cccc(c12)Br)Br
Brc1cccc2ccsc12.CC(=O)OC(C)=O.c1ccccc1.CCOCC.Cl[Sn](Cl)(Cl)Cl.O,CC(=O)c1csc2c(cccc12)Br
Brc1cnc2[nH]ccc2c1.O=C(Cl)C(Cl)(Cl)Cl.Cl[Al](Cl)Cl.ClCCl,O=C(c1c[nH]c2ncc(cc12)Br)C(Cl)(Cl)Cl
Brc1cnc2[nH]ccc2c1.O=C(Cl)C(Cl)(Cl)Cl.Cl[Al](Cl)Cl.O,O=C(c1c[nH]c2ncc(cc12)Br)C(Cl)(Cl)Cl
Brc1cnc2[nH]ccc2n1.CC(C)(C)C(=O)Cl.CC[Al](Cl)CC.[O-]C(=O)O.ClCCl.[Na+],CC(C)(C)C(=O)c1c[nH]c2ncc(nc12)Br
C#Cc1cnc2[nH]ccc2n1.CC(C)(C)C(=O)Cl.CC[Al](Cl)CC.CCOC(C)=O.[O-]C(=O)O.ClCCl.[Na+],C#Cc1cnc2[nH]cc(c2n1)C(=O)C(C)(C)C
C/C=C(\C)C(=O)Cl.COc1ccccc1.ClCCl.Cl[Al](Cl)Cl,COc1ccc(cc1)C(=O)C(/C)=C/C
C/C=C(\C)C(=O)Cl.c1ccccc1.Cl[Al](Cl)Cl.ClCCl,C/C=C(\C)C(=O)c1ccccc1
C/C=C/C(=O)Cl.CCC(=O)C1=C(CC(CC1=O)c1c(cc(cc1C)C)C)O.Cl.ClCCl.Cl[Al](Cl)Cl,CCC(=O)C1=C(CC(CC1=O)c1c(cc(c(c1C)C(=O)/C=C/C)C)C)O
